Complaints by Consumer State and Fiscal Year,,
ConsumerState,FY,Complaints
Hawaii,2018,"19,698"
Idaho,2018,31524
Illinois,2018,"252,935"
Indiana,2018,"64,222"
Iowa,2018,"40,239"
Kansas,2018,"44,792"
Kentucky,2018,"57,890"
Louisiana,2018,"59,189"
Maine,2018,"20,020"
Maryland,2018,"127,143"
Massachusetts,2018,"119,103"
Michigan,2018,"197,421"
Minnesota,2018,"93,028"
Mississippi,2018,"27,910"
Missouri,2018,"71,942"
Montana,2018,"18,638"
Nebraska,2018,"35,670"
Nevada,2018,"77,316"
New Hampshire,2018,"24,566"
New Jersey,2018,"210,123"
New Mexico,2018,"33,432"
New York,2018,"348,651"
North Carolina,2018,"168,022"
North Dakota,2018,"7,489"
Ohio,2018,"216,675"
Oklahoma,2018,"50,808"
Oregon,2018,"98,126"
Pennsylvania,2018,"239,133"
Puerto Rico,2018,893
Rhode Island,2018,"18,691"
South Carolina,2018,"75,115"
South Dakota,2018,"9,521"
Tennessee,2018,"111,514"
Texas,2018,"402,316"
Utah,2018,"54,865"
Vermont,2018,"9,208"
Virginia,2018,"181,936"
Washington,2018,"130,920"
West Virginia,2018,"25,812"
Wisconsin,2018,"84,333"
Wyoming,2018,"9,389"
