,,,,,,,,,,,
,,,,,,,,,,,
Alabama,,,,,,,,,,,
,Area Code,,"Active Registrations as of Sept. 30, 2014",,,FY 2010 through FY 2014                                                  Complaints,,,FY 2014                               Complaints,,
,941,,"746,907",,,"57,486",,,"13,708",,
,954,,"1,329,340",,,"95,434",,,"16,512",,
,,,,,,,,,,,
,,,,,,,,,,,
Georgia,,,,,,,,,,,
,Area Code,,"Active Registrations as of Sept. 30, 2014",,,FY 2010 through FY 2014                                                  Complaints,,,FY 2014                               Complaints,,
,229,,"389,925",,,"16,810",,,"3,487",,
,404,,"1,221,174",,,"64,921",,,"12,693",,
,470,,"6,577",,,291,,,154,,
,478,,"392,962",,,"24,976",,,"5,240",,
,678,,"1,035,150",,,"52,219",,,"10,641",,
,706,,"1,207,473",,,"67,265",,,"15,990",,
,762,,"2,667",,,132,,,69,,
,770,,"1,892,191",,,"165,030",,,"33,248",,
,912,,"568,621",,,"24,783",,,"5,225",,
,,,,,,,,,,,
,,,,,,,,,,,
Hawaii,,,,,,,,,,,
,Area Code,,"Active Registrations as of Sept. 30, 2014",,,FY 2010 through FY 2014                                                  Complaints,,,FY 2014                               Complaints,,
,808,,"744,414",,,"34,311",,,"7,722",,
,,,,,,,,,,,
,,,,,,,,,,,
Idaho,,,,,,,,,,,
,Area Code,,"Active Registrations as of Sept. 30, 2014",,,FY 2010 through FY 2014                                                  Complaints,,,FY 2014                               Complaints,,
,208,,"1,101,598",,,"73,714",,,"14,321",,
,,,,,,,,,,,
,,,,,,,,,,,
Illinois,,,,,,,,,,,
,Area Code,,"Active Registrations as of Sept. 30, 2014",,,FY 2010 through FY 2014                                                  Complaints,,,FY 2014                               Complaints,,
,217,,"877,237",,,"60,807",,,"11,660",,
,224,,"156,258",,,"8,279",,,"2,086",,
,309,,"718,522",,,"52,752",,,"9,632",,
,312,,"487,142",,,"42,711",,,"7,888",,
,331,,"8,608",,,800,,,154,,
,618,,"887,476",,,"58,607",,,"11,081",,
,630,,"1,358,162",,,"130,743",,,"25,261",,
,708,,"1,002,399",,,"88,414",,,"16,958",,
,773,,"1,172,302",,,"93,517",,,"17,244",,
,779,,"10,060",,,388,,,177,,
,815,,"1,246,868",,,"95,474",,,"21,426",,
,847,,"1,585,902",,,"167,372",,,"33,534",,
,872,,"1,794",,,132,,,99,,
,,,,,,,,,,,
Indiana,,,,,,,,,,,
,Area Code,,"Active Registrations as of Sept. 30, 2014",,,FY 2010 through FY 2014                                                  Complaints,,,FY 2014                               Complaints,,
,219,,"508,407",,,"26,363",,,"5,303",,
,260,,"427,517",,,"13,071",,,"2,568",,
,317,,"1,028,982",,,"30,145",,,"5,426",,
,574,,"399,217",,,"10,277",,,"2,343",,
,765,,"627,453",,,"16,277",,,"3,389",,
,812,,"837,080",,,"22,319",,,"5,076",,
,,,,,,,,,,,
,,,,,,,,,,,
Iowa,,,,,,,,,,,
,Area Code,,"Active Registrations as of Sept. 30, 2014",,,FY 2010 through FY 2014                                                  Complaints,,,FY 2014                               Complaints,,
,319,,"596,699",,,"32,105",,,"7,767",,
,515,,"646,612",,,"34,905",,,"7,493",,
,563,,"381,928",,,"15,835",,,"3,960",,
,641,,"353,275",,,"12,173",,,"3,106",,
,712,,"401,442",,,"14,693",,,"3,729",,
,,,,,,,,,,,
,,,,,,,,,,,
Kansas,,,,,,,,,,,
,Area Code,,"Active Registrations as of Sept. 30, 2014",,,FY 2010 through FY 2014                                                  Complaints,,,FY 2014                               Complaints,,
,316,,"467,358",,,"30,023",,,"7,432",,
,620,,"457,539",,,"14,726",,,"3,765",,
,785,,"634,764",,,"24,296",,,"5,969",,
,913,,"690,429",,,"36,103",,,"8,933",,
,,,,,,,,,,,
,,,,,,,,,,,
Kentucky,,,,,,,,,,,
,Area Code,,"Active Registrations as of Sept. 30, 2014",,,FY 2010 through FY 2014                                                  Complaints,,,FY 2014                               Complaints,,
,270,,"879,032",,,"42,971",,,"8,001",,
,364,,8,,,0,,,0,,
,502,,"966,616",,,"52,360",,,"9,835",,
,606,,"514,596",,,"16,425",,,"3,936",,
,859,,"796,645",,,"41,904",,,"8,442",,
,,,,,,,,,,,
,,,,,,,,,,,
Louisiana,,,,,,,,,,,
,Area Code,,"Active Registrations as of Sept. 30, 2014",,,FY 2010 through FY 2014                                                  Complaints,,,FY 2014                               Complaints,,
,225,,"486,560",,,"36,380",,,"7,571",,
,318,,"605,941",,,"36,825",,,"7,773",,
,337,,"533,847",,,"28,579",,,"5,477",,
,504,,"619,524",,,"39,669",,,"9,303",,
,985,,"424,725",,,"26,242",,,"6,250",,
,,,,,,,,,,,
,,,,,,,,,,,
Maine,,,,,,,,,,,
,Area Code,,"Active Registrations as of Sept. 30, 2014",,,FY 2010 through FY 2014                                                  Complaints,,,FY 2014                               Complaints,,
,207,,"1,024,820",,,"48,117",,,"11,241",,
,,,,,,,,,,,
,,,,,,,,,,,
Maryland,,,,,,,,,,,
,Area Code,,"Active Registrations as of Sept. 30, 2014",,,FY 2010 through FY 2014                                                  Complaints,,,FY 2014                               Complaints,,
,240,,"494,904",,,"19,216",,,"4,670",,
,301,,"1,565,510",,,"149,924",,,"38,891",,
,410,,"1,647,236",,,"137,403",,,"36,684",,
,443,,"750,777",,,"22,173",,,"5,859",,
,667,,128,,,18,,,15,,
,,,,,,,,,,,
,,,,,,,,,,,
Massachusetts,,,,,,,,,,,
,Area Code,,"Active Registrations as of Sept. 30, 2014",,,FY 2010 through FY 2014                                                  Complaints,,,FY 2014                               Complaints,,
,339,,"42,528",,,"1,516",,,361,,
,351,,992,,,12,,,4,,
,413,,"618,012",,,"33,635",,,"8,300",,
,508,,"1,552,914",,,"91,363",,,"19,972",,
,617,,"1,150,702",,,"60,061",,,"11,023",,
,774,,"212,934",,,"4,465",,,"1,132",,
,781,,"887,444",,,"53,570",,,"12,163",,
,857,,"64,190",,,"2,653",,,535,,
,978,,"1,002,076",,,"61,674",,,"14,581",,
,,,,,,,,,,,
,,,,,,,,,,,
Michigan,,,,,,,,,,,
,Area Code,,"Active Registrations as of Sept. 30, 2014",,,FY 2010 through FY 2014                                                  Complaints,,,FY 2014                               Complaints,,
,231,,"515,020",,,"27,958",,,"6,981",,
,248,,"1,220,058",,,"101,354",,,"21,412",,
,269,,"568,827",,,"32,658",,,"8,011",,
,313,,"684,196",,,"39,834",,,"8,003",,
,517,,"650,983",,,"33,935",,,"8,611",,
,586,,"711,040",,,"50,498",,,"11,368",,
,616,,"729,970",,,"49,038",,,"9,817",,
,734,,"898,013",,,"57,212",,,"12,781",,
,810,,"602,335",,,"34,144",,,"8,554",,
,906,,"227,913",,,"10,620",,,"3,133",,
,947,,785,,,100,,,44,,
,989,,"706,751",,,"31,280",,,"8,550",,
,,,,,,,,,,,
,,,,,,,,,,,
Minnesota,,,,,,,,,,,
,Area Code,,"Active Registrations as of Sept. 30, 2014",,,FY 2010 through FY 2014                                                  Complaints,,,FY 2014                               Complaints,,
,218,,"586,189",,,"23,625",,,"5,317",,
,320,,"388,971",,,"15,692",,,"3,880",,
,507,,"597,538",,,"24,275",,,"4,812",,
,612,,"803,685",,,"33,540",,,"7,105",,
,651,,"764,316",,,"42,979",,,"10,156",,
,763,,"512,134",,,"31,539",,,"8,669",,
,952,,"476,857",,,"30,429",,,"7,201",,
,,,,,,,,,,,
,,,,,,,,,,,
Mississippi,,,,,,,,,,,
,Area Code,,"Active Registrations as of Sept. 30, 2014",,,FY 2010 through FY 2014                                                  Complaints,,,FY 2014                               Complaints,,
,228,,"239,892",,,"13,437",,,"2,326",,
,601,,"755,093",,,"35,902",,,"6,578",,
,662,,"526,705",,,"18,170",,,"4,023",,
,769,,"7,729",,,255,,,48,,
,,,,,,,,,,,
,,,,,,,,,,,
Missouri,,,,,,,,,,,
,Area Code,,"Active Registrations as of Sept. 30, 2014",,,FY 2010 through FY 2014                                                  Complaints,,,FY 2014                               Complaints,,
,314,,"1,025,597",,,"48,665",,,"10,132",,
,417,,"601,917",,,"22,208",,,"4,301",,
,573,,"651,068",,,"17,727",,,"3,940",,
,636,,"431,873",,,"23,547",,,"4,599",,
,660,,"239,711",,,"5,698",,,"1,211",,
,816,,"871,416",,,"31,349",,,"7,027",,
,,,,,,,,,,,
,,,,,,,,,,,
Montana,,,,,,,,,,,
,Area Code,,"Active Registrations as of Sept. 30, 2014",,,FY 2010 through FY 2014                                                  Complaints,,,FY 2014                               Complaints,,
,406,,"750,237",,,"41,165",,,"10,023",,
,,,,,,,,,,,
,,,,,,,,,,,
Nebraska,,,,,,,,,,,
,Area Code,,"Active Registrations as of Sept. 30, 2014",,,FY 2010 through FY 2014                                                  Complaints,,,FY 2014                               Complaints,,
,308,,"279,139",,,"11,836",,,"2,734",,
,402,,"1,140,777",,,"64,578",,,"14,281",,
,531,,120,,,12,,,4,,
,,,,,,,,,,,
,,,,,,,,,,,
Nevada,,,,,,,,,,,
,Area Code,,"Active Registrations as of Sept. 30, 2014",,,FY 2010 through FY 2014                                                  Complaints,,,FY 2014                               Complaints,,
,702,,"1,273,575",,,"104,955",,,"22,306",,
,725,,67,,,3,,,3,,
,775,,"574,886",,,"41,114",,,"9,867",,
,,,,,,,,,,,
,,,,,,,,,,,
New Hampshire,,,,,,,,,,,
,Area Code,,"Active Registrations as of Sept. 30, 2014",,,FY 2010 through FY 2014                                                  Complaints,,,FY 2014                               Complaints,,
,603,,"1,155,347",,,"72,384",,,"14,964",,
,,,,,,,,,,,
,,,,,,,,,,,
New Jersey,,,,,,,,,,,
,Area Code,,"Active Registrations as of Sept. 30, 2014",,,FY 2010 through FY 2014                                                  Complaints,,,FY 2014                               Complaints,,
,201,,"1,183,340",,,"96,763",,,"22,952",,
,551,,"50,312",,,"2,049",,,305,,
,609,,"1,224,564",,,"97,442",,,"19,872",,
,732,,"1,452,469",,,"118,586",,,"24,753",,
,848,,"48,961",,,"1,486",,,355,,
,856,,"744,247",,,"60,682",,,"13,444",,
,862,,"89,841",,,"2,965",,,695,,
,908,,"972,923",,,"79,377",,,"16,701",,
,973,,"1,193,189",,,"86,490",,,"18,269",,
,,,,,,,,,,,
,,,,,,,,,,,
New Mexico,,,,,,,,,,,
,Area Code,,"Active Registrations as of Sept. 30, 2014",,,FY 2010 through FY 2014                                                  Complaints,,,FY 2014                               Complaints,,
,505,,"1,088,961",,,"66,265",,,"13,789",,
,575,,"393,973",,,"14,515",,,"4,434",,
,,,,,,,,,,,
,,,,,,,,,,,
New York,,,,,,,,,,,
,Area Code,,"Active Registrations as of Sept. 30, 2014",,,FY 2010 through FY 2014                                                  Complaints,,,FY 2014                               Complaints,,
,212,,"695,345",,,"88,479",,,"19,678",,
,315,,"1,056,658",,,"60,805",,,"16,727",,
,347,,"509,188",,,"23,832",,,"5,027",,
,516,,"1,274,172",,,"83,571",,,"22,202",,
,518,,"1,074,502",,,"70,341",,,"16,810",,
,585,,"854,269",,,"56,796",,,"13,688",,
,607,,"595,826",,,"40,798",,,"11,082",,
,631,,"1,099,204",,,"68,840",,,"19,256",,
,646,,"566,031",,,"18,788",,,"3,533",,
,716,,"1,045,473",,,"65,400",,,"15,925",,
,718,,"1,537,407",,,"119,427",,,"28,148",,
,845,,"923,857",,,"63,594",,,"17,147",,
,914,,"839,011",,,"69,425",,,"16,378",,
,917,,"1,250,538",,,"39,780",,,"7,744",,
,929,,"1,395",,,69,,,41,,
,,,,,,,,,,,
,,,,,,,,,,,
North Carolina,,,,,,,,,,,
,Area Code,,"Active Registrations as of Sept. 30, 2014",,,FY 2010 through FY 2014                                                  Complaints,,,FY 2014                               Complaints,,
,252,,"632,329",,,"28,448",,,"6,831",,
,336,,"1,168,766",,,"62,944",,,"14,400",,
,704,,"1,437,794",,,"83,338",,,"19,042",,
,828,,"899,884",,,"49,878",,,"12,805",,
,910,,"891,505",,,"37,122",,,"8,812",,
,919,,"1,328,899",,,"81,564",,,"20,281",,
,980,,"63,012",,,"1,942",,,577,,
,984,,875,,,9,,,5,,
,,,,,,,,,,,
,,,,,,,,,,,
North Dakota,,,,,,,,,,,
,Area Code,,"Active Registrations as of Sept. 30, 2014",,,FY 2010 through FY 2014                                                  Complaints,,,FY 2014                               Complaints,,
,701,,"493,856",,,"15,555",,,"2,767",,
,,,,,,,,,,,
,,,,,,,,,,,
Ohio,,,,,,,,,,,
,Area Code,,"Active Registrations as of Sept. 30, 2014",,,FY 2010 through FY 2014                                                  Complaints,,,FY 2014                               Complaints,,
,216,,"658,796",,,"53,283",,,"9,362",,
,234,,"12,875",,,"2,088",,,656,,
,330,,"1,551,777",,,"118,976",,,"21,677",,
